,men_Pt025_RPLCneg,men_Pt063_RPLCneg,men_Pt008_RPLCneg,men_Pt013_RPLCneg,woman_Pt119_RPLCneg,woman_HCW080_RPLCneg,woman_Pt003_RPLCneg,men_HCW564_RPLCneg,men_HCW059_RPLCneg,men_Pt047_RPLCneg,men_HCW011_RPLCneg,woman_Pt087_RPLCneg,men_Pt116_RPLCneg,men_Pt010_RPLCneg,men_HCW578_RPLCneg,men_HCW574_RPLCneg,woman_Pt058_RPLCneg,woman_Pt164_RPLCneg,men_HCW036_RPLCneg,woman_Pt113_RPLCneg,woman_Pt005_RPLCneg,men_HCW012_RPLCneg,woman_Pt038_RPLCneg,men_Pt060_RPLCneg,woman_Pt044_RPLCneg,woman_HCW099_RPLCneg,woman_Pt022_RPLCneg,men_Pt110_RPLCneg,men_HCW237_RPLCneg
Label,COVID,COVID,COVID,COVID,COVID,HC,COVID,HC,HC,COVID,HC,COVID,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC
297.2256@315.52,50469.26597,53948.4982,51177.03853,51600.44706,48866.96346,54020.36574,51764.57835,51379.97425,47371.71693,53066.98889,50995.06979,51708.11649,52663.94273,47759.89065,54159.98582,54066.41833,50004.70486,52206.1809,50179.04336,43377.80185,52934.52983,49893.55852,56218.75078,52331.4628,54637.27664,50509.55453,49813.67078,51110.47828,54062.08551
297.277@517.93,306387.12013,184555.18933,321233.52893,301355.39399,272953.35276,249783.63176,253808.3427,301994.04767,331294.5658,231673.14896,297739.12088,331889.19417,321332.64805,178216.15498,362004.00508,277405.25931,271502.26882,215800.72117,344052.18691,260894.49446,292953.68584,232599.38909,436089.74648,193192.26656,246875.43228,303106.43898,924380.3331,272458.1349,326705.95312
297.7322@636.67,39854.39138,36632.69412,44281.06603,30155.33335,21391.42323,25454.72986,41012.4134,31048.24512,36249.24178,27033.47101,34025.23476,38075.23114,15358.17465,32194.62497,23583.44403,40932.11134,37562.01347,26331.59355,40336.84291,39065.30717,34741.26718,29921.67283,39154.50897,30837.75141,24203.78327,20170.13953,24117.46199,29667.38219,33426.7911
297.825@636.54,11287.43852,11948.48063,20158.4986,9451.93205,5455.88619,26139.93947,22028.17718,26349.79802,14235.8307,29033.96761,11839.09954,15715.55166,24769.8984,9405.93265,31388.76676,16497.15348,15231.32246,28768.26721,16638.81046,23303.73277,24522.98107,27389.70449,22962.67738,26422.22973,28887.15225,5163.18446,7330.17877,27574.36007,23666.54851
298.1554@523.46,1249344.59765,1243341.61798,1005692.47012,1613781.63469,1302631.67607,544376.33911,850924.2552,757206.84233,1815888.23692,687784.22612,1686172.73688,1009993.26028,655184.15226,1159201.42822,336493.45311,1597587.49839,905886.34025,489881.56645,1681133.76234,575546.87875,409472.04471,688235.05418,790086.55207,537008.25804,613641.27475,1520931.00585,1700707.04447,565341.78346,658364.59379
298.1555@482.06,338219.38581,235062.23313,261961.72369,402835.68866,305659.98327,196364.40871,169286.42187,154777.50941,275124.94319,130585.39553,661562.1918,209345.20169,91667.43556,341380.7103,143951.98311,290077.98819,211628.19765,103984.68546,244632.90224,154452.02235,132822.49133,148574.29894,152079.18544,117314.89583,154058.10197,380024.63214,435831.5146,125492.63844,225571.88147
298.1555@341.52,257223.34902,384394.85832,343999.20538,286205.23806,344908.98809,330112.42298,397797.56954,4331.31315,357587.1966,309414.71512,360658.50744,362886.3313,334874.8059,409112.72749,337451.99632,351316.87758,435509.22351,336072.24473,391493.70549,560231.06009,261347.81486,459936.29552,352909.08638,252589.96486,340511.07218,375299.25873,362826.45807,312733.35423,335349.74112
298.2741@415.22,6349.93409,6354.36344,10645.54601,3594.20735,2608.65101,17173.27923,12409.28908,14127.69071,6562.75257,17220.68943,6063.50065,8246.23783,13785.67639,4771.88325,19596.39257,8504.05641,8221.70046,17171.59952,7408.09558,13300.42796,14772.13436,15595.61875,14378.84685,15869.87561,19448.80996,3884.0748,4447.25825,15482.17268,14220.71877
298.7336@636.79,3335.29235,2548.47406,5968.39765,3012.22527,2408.43902,28464.60181,4201.76141,25628.86149,4313.15977,22958.86156,4436.69853,2651.05884,3686.18233,4723.23187,17457.46539,4878.8983,13374.01972,1556.25732,4618.02304,4372.276,3442.41683,2628.3235,5317.46223,3815.91568,37637.97102,1805.43788,2729.31861,2654.62724,3848.30688
299.0058@32.35,78476.83856,76619.62626,75346.2485,78026.1153,72102.5897,73230.70565,74290.86494,75095.21392,76580.20419,79992.44096,79404.29224,70593.88671,74281.37005,76736.44309,48906.10388,82458.77973,76523.37773,57395.74951,75789.24955,74656.35754,75718.79096,105929.57562,77759.89073,73483.34272,76791.95494,73421.37105,72066.73099,75027.95785,81118.48483
299.2008@395.61,64763.32941,66074.10646,65847.56958,63178.87305,77392.43628,63375.88745,66531.80743,62035.35229,65617.63449,60038.87474,67499.34986,62413.87282,67666.21276,67126.28436,62912.36897,63474.37087,68508.47022,69379.54581,65799.40536,79372.42234,66866.81432,64772.02263,69824.4515,63345.78013,62817.61291,65460.24896,65724.95329,70057.1147,61884.18068
299.7746@636.42,63923.5236,17538.16042,21187.96886,15356.06066,1674.68779,120832.00564,19942.98088,14961.87937,64005.06099,127627.63628,17353.63959,18777.326,118752.76479,41511.00804,127640.91566,85043.9887,72192.14043,12370.4977,80659.43182,19626.89881,119851.33994,117670.39133,18147.68897,14495.06583,121442.23365,10214.41065,11629.26831,124373.9858,15312.15496
300.2042@395.6,11690.29297,12544.96203,13583.3873,12615.0541,15791.72184,11891.57842,13299.9586,12103.55752,12315.04925,12582.21992,12027.67285,11523.18209,12728.13023,12855.77674,12242.23356,12392.02112,13603.61971,13927.57928,13480.54087,15252.07578,12820.94052,13128.91592,14130.74452,12321.34473,13031.73416,12761.066,13808.60757,14395.23113,12801.07106
301.0709@207.66,6878.43068,7118.49475,7447.96323,7085.02237,7460.93313,16093.15322,10606.98839,11078.83425,6762.58213,15870.366,7068.35116,7469.11198,11400.23795,7404.4076,20230.74583,8098.55058,7919.38898,15794.9212,7382.38345,9360.05082,10794.18713,13576.37335,9946.08939,12312.98201,20293.43906,7815.99917,7261.88526,12406.92128,10059.56867
301.1549@298.73,18108.26933,5480.78988,15843.4705,18262.99399,15715.50384,16817.08909,18122.31393,17270.3269,17282.85261,18372.04406,16743.79049,17597.85884,17513.30417,16774.59057,17964.60869,18067.57992,17203.53846,18088.91758,18068.60724,17642.35443,18787.72479,17767.59429,20436.89391,17836.53614,18536.88957,17732.67719,16597.57651,17443.47558,17836.65991
301.216@446.56,113878.64506,138769.92677,108139.13783,107592.41538,148802.05226,86381.8295,125481.24415,82562.05804,99644.09233,88580.49486,92148.18279,114341.38696,98290.63901,104807.24654,93554.69423,100758.99451,124629.56377,131043.91412,112849.02492,100980.65051,96077.7657,79950.21653,113477.52606,101562.70078,99427.74447,99515.9745,106759.02382,103307.42624,83653.33414
301.2165@407.14,87673.21227,383530.93314,214373.46215,547798.97844,127961.13152,51939.0794,224193.52482,380074.661,52473.86974,18651.86178,94053.44112,90011.5359,104963.64251,64516.78578,45937.74948,152765.57106,196122.39364,125295.29068,122985.16857,60563.30904,153099.05685,12379.21605,316605.71978,109088.25462,71629.07669,83235.64385,136345.42201,180548.14289,76223.63373
301.7664@137.54,39732.56211,40775.85558,35477.22978,39685.34262,43072.30602,31981.13663,35222.41527,36223.54815,38844.46413,35325.60149,40309.45854,28531.66282,31382.88304,34196.87961,27192.95637,36890.28265,34850.57725,30014.92387,40565.14943,33295.91407,34641.10554,33368.59192,32411.50818,33445.56477,30309.19583,55097.01814,39126.856,31196.93,33709.62994
302.2195@446.55,22766.78873,25395.68452,22358.68066,20396.41758,29120.71362,16921.18113,24249.27682,16625.72409,20281.96609,18021.4004,19001.49794,11299.75754,9379.80719,20735.79718,18421.08358,20084.47544,22646.66013,25100.14584,22222.08493,19669.95675,18343.59546,15049.79169,21467.04694,19307.63359,18867.0613,4357.8676,20618.8426,20328.46674,17782.56745
302.2198@407.02,16782.06267,62233.43326,42954.13167,117497.06376,26870.9237,10737.35739,47787.6523,80378.75656,9603.31928,3301.12418,20128.05377,18612.313,21190.44057,13456.93732,8986.60897,31988.01065,41733.90512,27143.59853,24624.25699,12084.11753,33623.60773,1823.61443,63117.9078,22054.28861,14239.1015,16230.17388,28317.62944,37534.49583,16684.91428
303.2325@484.88,171442.7863,114012.70817,149969.65142,177848.12658,156038.00807,172737.96955,134790.10116,193079.69776,185838.98431,162912.38639,398127.24913,137811.53674,185014.08044,218662.3641,179708.36841,163582.14096,134259.31415,165128.66538,206404.36538,176825.35003,167063.26076,226733.50115,115134.59464,153101.50171,216845.20565,182719.30853,230718.61858,146819.98517,183255.62136
303.2328@438.79,3031550.55517,5378209.19109,4289233.11505,2826250.47473,6118445.35098,1813413.31722,3658024.42654,2722156.77823,2548567.12962,842368.18399,1410811.88428,2545990.48328,3807559.55742,2312444.03111,1676899.97954,1989817.03254,4757021.32634,4919730.95973,3235391.38813,2787304.0341,3819604.32953,513476.55612,4684594.68926,4166643.18718,1785487.38236,1632735.00498,3448577.5428,3312733.16429,1085145.23285
303.7642@137.51,64351.66884,63621.1779,64466.90282,67323.69641,67227.08329,53051.94693,55006.93521,60501.20401,64225.79378,56597.02495,69708.12502,49839.46072,52802.18094,55542.82649,49833.32163,65338.3917,59511.14082,56731.01255,63208.70337,55240.75166,54419.75394,56587.74397,61931.99406,56965.43272,52975.7862,89468.32166,64446.91053,53541.35262,57983.17173
304.2362@438.81,690320.04476,1209978.33939,972136.06107,679561.81012,1377483.38392,410687.16407,822685.35717,646850.68804,582637.89529,186383.61583,317737.3712,579122.26805,853979.31012,525281.21261,371379.1589,449578.43016,1072349.20971,1108490.65578,736661.41476,638932.79037,864773.76151,101307.94701,1049514.1531,943497.54628,407670.12566,349730.5394,783098.71385,755648.81024,237354.25409
304.9491@653.44,25416.42673,27931.8644,30925.26436,32698.77825,25368.81268,30108.14088,30744.48643,29178.48184,31624.12999,27422.41466,27307.55552,31907.08889,31659.02254,30017.90392,29977.87223,32384.7494,28156.3991,29292.26855,29832.54617,24470.89496,27490.4033,29663.4448,28497.14252,28774.84941,31979.27395,26279.73918,25792.87231,30220.17623,30850.09681
305.0811@301.48,86015.67696,85406.27036,91812.02112,80192.2352,74903.20876,110236.50485,103099.16426,103939.25817,89855.4135,106104.27693,80491.15319,94358.69124,104192.74721,79780.57501,116337.14953,92280.62434,92071.19508,110476.33735,91699.47619,103483.40591,104910.60437,100588.94962,104917.56897,111064.37683,117860.41187,71639.94905,73953.19091,116973.73337,106540.74559
305.2479@513.65,803739.16073,867732.62721,364249.83973,885984.00092,857663.92582,384256.039,332492.68033,324901.13085,397770.48859,361045.55654,423889.14546,801756.65934,361031.72055,415541.70581,341425.73609,397738.27559,789566.06855,803197.43939,400186.75714,354896.30699,327214.69095,343455.29454,821950.74203,360823.22115,336649.24665,408569.98225,854365.50185,782339.30133,343226.05516
305.2479@503.98,399793.46673,440976.25488,404377.18539,434620.06639,423771.628,438542.92138,362023.51399,681219.73255,427569.23579,732627.17006,433561.56678,395656.13816,360018.73148,856850.9078,343543.39385,815382.4159,390469.70709,416417.10644,404937.60803,382248.29908,363446.69994,353144.21652,426143.38127,377121.22827,705882.28014,854499.13724,420959.88986,397948.60976,744443.64746
305.2481@464.67,739828.23028,1453058.80476,871363.89767,755758.45489,1167832.09597,585572.38353,1237704.0999,556968.06028,530927.48036,211200.92862,322490.66347,906877.03719,1027183.23845,505784.4104,653514.12136,663496.64463,1891843.74688,878409.79416,764554.07332,812617.39435,706264.12347,121696.7977,1791084.0026,1583014.33728,431105.94279,795525.25403,1004403.53589,925871.82569,594458.49894
305.7623@137.63,38661.66841,41403.95449,38477.99759,43460.86501,42936.50665,34022.03764,36260.17279,35709.39642,39835.63988,36900.17974,39384.03462,30348.06051,34097.68671,34435.49071,33493.90272,43308.16279,36242.57361,30181.13492,44934.81271,33795.77206,31879.31619,34724.90328,37596.41125,33386.05939,32916.04159,51726.33465,39945.60743,32140.4719,35644.57661
306.0845@301.48,17675.34092,15845.82388,14968.68488,17557.28758,14573.95228,22385.07969,20141.28879,20255.0189,17556.05291,22107.8171,15611.64396,18119.4166,20075.44741,15936.93881,23468.69872,18533.00854,19446.50701,22301.2751,15424.52608,19608.70836,20455.69451,20663.69174,20535.28301,21912.39732,23096.59538,14362.12113,14421.61098,22465.43965,22061.8072
306.2512@464.71,158524.55437,320370.80834,192549.70599,162700.50013,256127.96702,117478.04091,271843.53884,146217.70996,109681.63794,44772.80914,66660.60249,198027.6073,225730.29045,103188.37061,145369.81544,143480.89163,426059.99234,195773.1103,165236.46485,177671.69138,154136.10721,16404.17765,404862.45917,353689.87217,91440.57526,169874.17293,223450.5131,201030.1011,126789.81484
306.2513@513.71,157368.8377,170765.76491,72477.24958,171506.38344,167847.65886,74613.66491,142961.48961,139139.83871,78413.29745,151075.01343,78644.79939,158818.29566,69327.39944,175704.78944,140412.21135,165965.94992,156024.19573,160614.87203,76268.46156,155409.25223,67821.80329,66435.51369,164101.37439,153209.56397,144889.73217,171008.98778,167687.20641,72090.59447,143894.16857
306.936@626.26,82657.0853,80048.07399,63158.7808,68962.198,57569.2417,21663.09902,59180.12311,24198.50458,60433.06138,23933.7619,82397.24483,49653.40477,28043.0408,73279.78051,19615.52882,70657.19641,69137.91621,30476.60869,73012.16058,40464.42596,31387.10038,37650.63536,41919.29942,29331.63687,17202.16815,63035.24126,69571.07,28492.04483,42269.82097
307.1937@511.09,177418.31148,179949.60869,257470.80553,165838.75318,154122.51736,198592.12355,252533.35231,185724.23765,198117.90302,170058.12789,179351.03672,247693.89647,246811.96339,175453.02005,248918.27398,115874.80029,184851.11793,131341.34259,133088.67438,134182.2331,240701.47359,142436.43231,271997.2797,125414.98846,129054.42149,155796.45257,161563.8625,243644.86423,247442.55026
307.1938@400.32,24579.37797,29100.66189,36258.14189,22120.4083,24470.28091,43866.10239,50333.59513,42093.65908,28595.89127,38071.98344,28572.68109,32891.37272,41057.86695,24861.43683,50828.87077,29755.58695,37077.85119,41982.77685,41311.59487,63304.05298,56705.08142,44654.79671,45141.33342,40558.52371,47901.99238,24771.63578,22120.04227,42937.95455,39976.18128
307.2471@478.92,23569.47489,30773.73562,24016.35295,19208.89867,25154.65218,16503.57605,26309.31648,19026.83879,18929.67415,15405.96796,13469.00437,21467.84875,21818.77603,20045.9134,14534.27494,18233.41238,26056.9515,28767.94376,24213.08192,23763.02986,20250.45136,8178.50501,28787.66699,30406.24654,14816.94195,16838.77205,23783.53412,25223.60721,13345.79831
307.2544@464.79,19085.15064,39895.99518,23199.4422,19460.71983,30911.5547,10960.82805,33593.80538,14226.9752,13789.07526,4367.88547,7161.01964,30735.1401,25304.87993,10897.83959,17585.8639,20413.67788,51932.93386,23050.90127,19139.32151,22182.01733,17530.37931,1657.7457,50121.04299,42961.01611,9560.59002,17206.68923,26766.34055,24338.67058,11793.79051
307.2642@497.01,3304232.78403,12792089.76958,3317045.86984,4127138.30271,86388.05813,1249157.46117,6412727.32456,1773855.61786,2729160.72746,1242618.10443,887531.85946,3961762.3567,2410419.62697,2157803.9811,1999761.79468,2301376.92652,5059024.06516,5081739.01782,2782415.30316,5201095.46429,3456845.35387,262006.75723,5544330.68902,6243782.52037,1589629.53079,1853144.78327,3142805.78551,4456846.003,1227679.0929
308.2675@497.04,735597.56115,2830666.48611,739257.53204,931206.37024,1633059.0249,270613.20899,1429249.84472,394689.74177,620007.39667,272927.81578,190698.86163,889056.72335,539094.27745,482309.63368,443607.37267,515662.51535,1126611.22454,1126865.22609,624032.69982,1160000.91729,766134.77772,54511.29485,1244047.12934,1389074.8828,349625.30136,410719.28023,710826.49089,1000668.20882,265108.15759
309.1699@262.31,30454.03768,31119.93244,15912.70533,30272.92503,29548.32494,33674.15277,35494.85671,20252.78154,31774.4874,31141.93087,30281.05061,39903.51172,36013.49773,33541.9313,32407.59346,31732.35215,19949.49007,36140.57908,41220.96256,27570.07961,24104.2052,29468.56624,39411.58736,33606.9786,32600.58981,29477.79833,30388.67998,35893.45955,18756.91186
309.173@363.79,62373.12387,67290.67254,70384.73993,59089.38339,59047.12999,71749.46427,85006.59096,76470.39098,64476.22871,62390.68821,70331.18969,63670.69404,73517.20924,73241.0187,79231.81556,68729.55058,107645.20533,86183.13096,79419.25932,224287.27274,74634.24143,76452.67975,66726.00385,63113.01845,83975.15629,57917.17566,58151.67158,73653.42317,66944.22612
309.2039@415.13,15010.82514,20577.60366,15817.85122,8249.93703,20750.55489,6231.69407,20365.46672,8737.34433,7364.24147,5382.66489,6623.38122,13129.68572,14081.77631,11636.74561,7259.12529,11794.08476,59501.70045,26619.80695,15386.03388,15818.25209,12878.98139,4285.93607,26827.82858,19433.56569,4314.30137,15101.1254,20649.67274,16968.41786,9744.9082
309.2708@497.09,103422.59998,355342.49709,98776.04937,128428.00445,211619.37442,35236.19172,185866.20685,63204.83841,72069.68295,34343.00933,27670.75621,120836.63375,80540.02673,75281.14792,49642.59636,73961.46435,143390.48091,156036.50991,91458.79934,152642.43161,106147.83136,7149.95674,164233.7955,179057.28926,44029.71076,45987.7065,99080.84348,133737.94158,41968.22675
309.2794@532.6,1402263.15036,3247657.18536,1520376.22229,2681393.01213,2414980.33766,454471.32983,2201821.18257,1123908.92743,983971.39455,466166.64692,497503.1244,1302308.6071,973213.73656,1298981.31635,811824.78374,921424.00424,2506274.46138,1955035.55662,1104385.12992,2024982.22966,2133843.65695,170523.93285,3422034.80245,2188110.51717,696104.68034,2036169.11232,1440252.94903,1146467.48057,538330.12254
310.2826@532.64,305977.4243,731142.33999,332598.29623,602551.53541,536813.62168,99112.72015,490940.23285,246934.40975,220495.44602,94251.5895,108209.08949,287245.54319,220445.00826,284686.89252,172884.95867,200888.82146,554402.01076,436938.81745,241489.02599,449053.8004,477083.62365,39897.84983,779494.94102,491147.86428,149338.63854,455644.26025,315513.47634,250854.00131,117284.24781
310.8371@275,7643.71336,5966.6627,7409.92864,5892.54398,3326.24149,9750.96354,9509.89306,12059.10763,12455.15502,1587.78715,8441.64297,4896.89747,8843.85438,728.67047,11833.55378,9720.82082,9794.49762,8891.5826,12307.13377,4105.30901,9978.35383,2487.0344,4053.63686,8010.24719,2641.03218,6330.78616,2859.50183,9946.3068,4169.08197
311.1313@327.02,24384.27671,26034.01389,25844.13451,23798.17986,24296.98501,29071.50257,27813.39656,27433.29318,25878.0374,25671.58971,23991.01913,26305.36683,27244.39486,24275.18167,25687.96361,26111.84777,26864.24959,28041.88495,24104.93956,28210.44411,24051.29193,25540.72622,31316.05848,23911.73518,27327.71385,23490.68106,23613.65682,25813.38354,26451.62892
311.168@602.64,4357778.56184,2785729.47244,2796543.9435,6140832.16838,6855099.37052,1904090.33885,575280.82373,654173.71923,2469050.10451,1334682.34969,5182321.45195,2338882.50017,860145.60313,3886606.98462,1093566.05204,3900556.34024,4476355.65679,1490744.86818,219115.87292,1292888.32637,2339480.11766,1497215.97797,1199748.23109,2141192.41131,612828.6059,3520366.53099,2972657.59711,1608161.95003,1135353.18654
311.168@625.93,2880859.18958,2749501.9351,1574512.93098,3750966.0313,4027789.76573,728765.45198,1418359.40592,931767.97242,2448423.74754,794806.7104,2831382.49459,1830955.82008,894659.21154,3328776.2943,649896.48489,2183922.15042,2117713.72281,762456.80567,2113353.428,1323274.53998,1030995.8953,840543.966,1473606.50445,919435.90675,669042.25335,4680727.4036,3689631.03494,909563.82267,1030090.26774
311.1681@569.41,4146249.32537,4541721.59027,2415740.75524,4698715.68974,6858336.60229,1492356.81744,3363838.59809,884546.37052,4416174.0011,1311557.18105,4600463.92516,3479456.37684,1672959.17185,5030002.62053,607800.92429,3860114.75764,3898150.26627,1325419.53675,3275929.09644,2379966.02988,1974167.71974,1444252.61832,2282702.06875,1613097.83467,1141531.79949,5920548.439,7536304.80987,1424655.64796,1845765.48941
311.1685@358.25,4143586.37521,4588788.44751,5423651.29531,4280214.00159,4075051.44246,5545381.74366,4729875.36732,5134554.35336,4298439.86725,4744758.95495,4382884.11583,4405700.21804,5090944.79194,4814238.84328,4083296.50656,5409645.1303,5118781.94817,4961327.42781,4662184.45725,7262755.00211,4854042.99384,6018033.63113,4462816.20228,4771642.05048,4083477.85989,4253976.49152,4291354.90749,4726038.71402,4169264.94174
311.2219@274.66,112389.99404,111555.45124,56727.61986,55045.2857,90086.81208,44525.17964,59520.86561,199405.81946,35659.03728,27916.95453,103560.12612,53898.77617,57170.99676,82148.29937,61327.88162,124926.19021,65757.16201,73588.43015,55983.13112,330750.23931,56224.8808,17463.53317,100673.49662,113807.36154,47527.89765,187186.85786,67172.35016,115623.71207,26319.81442
312.1708@625.93,541933.22636,510793.81609,298822.38791,718089.36784,770763.62732,140310.67732,273009.86862,176410.00325,480609.31887,147991.84383,568496.80677,346809.83617,166795.78116,658598.21977,132184.58124,429585.33571,426110.46004,150459.93552,395588.01548,244636.75016,213391.41625,161520.253,288175.69219,178801.95908,132383.87343,912990.80996,712373.19082,172657.82934,194016.656
312.1709@602.74,599847.52207,321536.92685,401787.03109,1248482.25301,1198242.57364,323657.05192,116663.45338,131817.26826,795134.52864,251425.91238,453873.21309,196762.81905,251619.90415,753012.93907,296685.3974,511295.32662,770589.76352,233769.28051,657917.40638,235178.67786,261768.45477,343288.49943,264097.20711,347827.09623,217176.42305,1509607.94544,1261315.85982,292272.58922,114513.91322
312.1712@358.27,826643.00896,922266.43756,1082123.21551,1065413.81324,806045.79593,973344.44347,955232.64952,1028273.84026,863456.99603,938300.29428,1101080.43301,876310.51295,1011703.33968,969325.13141,823218.43449,1080270.17707,1027421.76116,992477.62629,942463.69302,1475116.10975,967696.29595,1208225.23088,895224.29149,949749.59417,810513.223,854489.89763,857746.21723,949460.13781,828199.36153
312.1713@522.64,5122738.22588,5244556.20798,4072195.5448,6347611.56064,3872355.49805,2350943.54419,3558946.88743,978017.70316,5141709.80953,844707.82535,5552168.58423,4489665.34243,2583546.66699,6497355.00689,1982020.34792,4768802.26773,4761063.46505,2226112.01865,4904227.76018,3253916.3173,2694119.46679,2394045.83477,3317862.9265,2415367.4913,1952061.22255,7047304.49036,5750066.08303,932760.96753,2658688.89845
312.2251@274.64,20723.51334,20249.30234,11257.69985,10488.68981,16668.17064,7776.68183,12178.82988,39482.68703,5573.57397,4659.43677,19309.95398,10166.01803,6553.45148,15756.84884,12485.12029,23595.39418,13449.46052,14201.57931,10825.01066,63657.34297,11195.24599,2575.10767,19874.46858,23451.3036,8279.73803,35457.68471,12781.95976,23164.68614,4850.56302
313.0774@373.3,18368.60866,15203.58236,22956.78715,21409.39732,16413.9653,16640.35243,15410.00422,16711.04411,20526.388,17370.63097,19570.21188,19846.61807,17993.63339,22272.68288,16852.28735,17063.84843,19558.66608,22988.98844,16368.12407,16019.08607,15589.82742,14026.07311,20169.07524,18798.91605,20407.80117,15280.95628,15658.91641,18385.6825,16281.20646
313.1672@358.51,280851.96103,387464.38947,357550.19949,293190.36743,273606.4155,328241.28529,325605.98013,349751.35059,365966.67322,316356.6706,299517.18232,298201.61071,337252.03655,330071.8906,276694.41089,366622.80749,422462.06903,338875.95742,322422.98989,501410.68677,331319.32501,403814.02626,303197.55473,312819.8687,277769.64131,363460.88777,371605.48927,319312.75515,343377.33539
313.2375@289.81,41581.99772,63834.94187,49555.66814,34938.12312,52519.85409,40968.37352,49018.10131,47928.30307,41287.94125,45317.3986,56396.2257,43244.40765,47095.8648,56416.60353,54259.52681,48387.16108,57401.91242,49145.01928,52979.46431,108800.01208,37643.3051,38145.43263,62109.86037,63114.5364,45766.61041,50914.7207,55866.63807,45399.37634,39999.76014
313.2555@482.46,260006.60793,254092.53375,257696.6974,270166.64028,229839.25961,346977.2604,207258.71351,276751.36785,283169.3227,262454.45283,416230.04269,233493.825,234130.99786,265418.92726,226900.324,258034.75907,194582.3839,182658.9646,257628.39927,197790.32428,215573.41703,309119.29554,200836.61955,217067.2802,221229.85735,286480.24648,251581.99343,230137.85588,262986.3677
314.1688@358.34,40409.55796,50693.15682,41323.87619,22830.45955,37311.32014,37024.47734,45938.08577,44776.67488,19873.97678,33685.48682,43665.61318,44231.3511,43445.51489,45009.07225,38923.25604,48285.06099,49238.49097,38785.04172,46800.98374,68583.4035,19791.79496,56500.26915,40906.85646,42061.21957,39167.65597,39250.20328,48018.41334,17457.17835,42316.03347
314.1929@478.92,29779.51421,41343.98527,24641.18542,23188.21518,32796.63369,11291.95633,25885.44412,12359.29919,19299.85723,7481.05502,13260.74405,19395.51676,16308.98525,56079.15353,10311.8275,19543.92352,32514.78075,22904.66726,21966.10624,20422.78262,13239.53936,5491.4562,24923.90607,27193.63801,11290.83548,65218.2151,27083.61045,21286.14797,10297.42446
314.7832@608.52,108433.51361,127648.673,293224.86342,38647.81343,69342.56956,346477.98984,286952.36561,352283.70716,117795.18715,437903.65786,83042.3147,156322.93281,308204.45485,134520.18301,77546.48465,257743.48244,234642.85767,422518.29621,291177.23123,255506.06366,313378.18486,305521.31862,361316.90525,428977.39122,391648.63129,66365.77402,83515.09533,424232.77506,268686.2738
314.7833@636.2,200579.15008,195740.28933,366706.31874,111957.08343,51099.62805,511181.78847,363110.17487,458922.54744,205015.37811,524293.14118,164215.02677,267881.61829,463324.92104,125810.55089,540804.37698,275163.25101,237360.99851,516324.43721,273282.40371,420269.2167,459053.31908,509089.00114,401235.51726,508425.63515,510961.94433,33213.81527,66328.07288,507662.92133,452628.61793
315.1881@478.99,59312.27993,79808.68733,49170.27924,47754.32919,66921.61049,27316.29975,48250.58858,29738.27255,42472.46136,25088.23218,30942.27159,43294.2685,35380.15618,46477.8076,22054.70693,41073.08959,60975.54015,49805.19881,45315.86873,44476.61255,32792.07571,17286.32326,57694.63006,54764.52621,25133.82974,42275.78032,54246.61287,42698.289,24189.45207
315.7833@636.17,46011.15898,45799.7205,81561.98679,26647.47825,10579.55832,113426.07865,83583.60329,105633.2003,45960.21508,119160.06135,36830.72215,62731.28209,106024.16995,28654.84776,119626.18475,61219.89145,52876.21035,114710.26325,63875.9433,96382.2466,105609.03622,111696.03056,92820.87334,114759.75487,114178.19869,6330.23679,14080.76302,114545.31549,102584.87538
315.8925@650.15,8067.82201,9149.98751,17020.98213,5845.70917,4582.77372,23292.0222,17874.54096,21229.47896,11917.65404,22974.67179,8934.09061,13258.81325,19872.1092,8302.61823,26769.86267,13187.94334,9250.09364,22656.30609,13946.52827,18767.28765,20538.83642,22860.21154,18269.19534,21573.78353,26195.30201,5438.80027,5369.67301,19680.06305,20121.19047
316.1171@31.98,4392.7643,4438.40163,11558.11708,7593.13668,7647.856,7602.11475,13960.80765,17269.35591,10982.12777,2489.63764,12600.31942,8461.87647,16198.62423,5800.57204,12629.62891,14245.67604,14224.59559,2497.93968,9468.53,6960.39934,13273.11904,9377.54098,14496.63044,9872.4922,10402.64507,10555.5689,9030.20108,10689.23535,14292.58674
316.2484@210.15,63260.42733,61249.64131,62710.97922,60139.36019,56878.10915,59486.4946,65657.87831,59537.0181,61146.083,61647.85783,62417.87262,60113.14902,62038.08937,61379.54482,62611.86346,60628.39175,64757.33176,65359.52738,62354.60621,64006.97612,61280.62622,64367.78349,72538.74314,62470.01635,65714.88489,59817.53792,60669.72503,62920.69217,64722.12565
316.7778@608.73,1453595.87245,1560856.44708,1914985.41574,557301.93595,297501.00304,2621276.94248,2020323.00522,2415127.50467,1508572.95035,3156794.88437,591391.85429,1419448.53064,2245586.73162,442126.79902,2759372.14895,2055338.93006,1604666.0065,2641017.40608,1907626.98467,1853021.45845,2207672.7309,3218362.60324,2378769.14266,3005824.30159,2907793.30556,221858.49188,462326.57951,2952126.67026,2020753.52351
