,woman_Pt070_RPLCneg,woman_Pt113_RPLCneg,men_Pt027_RPLCneg,woman_HCW099_RPLCneg,men_Pt025_RPLCneg,woman_Pt019_RPLCneg,woman_Pt058_RPLCneg,woman_Pt087_RPLCneg,woman_HCW045_RPLCneg,woman_Pt123_RPLCneg,men_Pt074_RPLCneg,men_Pt063_RPLCneg,woman_HCW008_RPLCneg,men_Pt013_RPLCneg,woman_Pt032_RPLCneg,woman_HCW103_RPLCneg,woman_Pt092_RPLCneg,men_Pt010_RPLCneg,woman_HCW019_RPLCneg,men_HCW237_RPLCneg,men_Pt020_RPLCneg,men_Pt116_RPLCneg,woman_HCW035_RPLCneg,woman_Pt122_RPLCneg,men_Pt068_RPLCneg,men_Pt007_RPLCneg,men_HCW012_RPLCneg,woman_Pt085_RPLCneg,men_HCW036_RPLCneg,men_HCW059_RPLCneg
Label,COVID,COVID,COVID,HC,COVID,COVID,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,COVID,HC,COVID,COVID,HC,HC,COVID,COVID,HC,COVID,COVID,COVID,HC,COVID,HC,HC
214.8315@137.61,351863.2842,330913.05098,359834.78775,562527.08276,388492.55427,440529.32442,384454.11401,323848.37621,387580.41023,343710.41707,408656.05569,393117.92543,345963.11531,404068.67067,387151.76636,360261.97016,349247.82607,386020.68862,395125.94837,355613.50516,330048.50215,319505.85396,325988.96443,331688.6275,353705.68582,363668.83078,336568.46739,348384.93696,384679.4556,398596.74415
214.8582@608.8,1216992.19168,1017279.35761,1241778.68113,281063.67027,782592.64952,468299.21511,818552.40908,911884.03436,849983.02195,883120.12124,532890.07322,426348.27036,1181254.10583,654786.27082,994007.13161,1291051.39793,1577736.32288,628479.33945,899230.43676,973225.69482,1288286.71315,1174791.21545,1169038.00518,1253172.65324,1051376.41204,1166626.14513,1278721.89961,1349143.93942,971501.83939,928761.68926
214.8583@636.19,1639113.44119,1486869.34515,1555877.86676,439428.29729,1031329.02582,486777.01099,1123550.32578,1167327.41999,1317760.00836,1484463.81286,554799.027,1014698.61048,1611859.4619,778894.35719,1225606.39473,1678495.35955,1720435.29924,824782.74791,1200232.04073,1567250.93273,1725026.99419,1585225.65727,1748719.82457,1708409.09132,1531976.98351,1372345.57261,1686364.16423,1656057.26729,1190327.15746,1048080.26681
215.0324@32.83,207717.5021,176153.64583,143494.77013,181918.16178,156765.54472,296029.12358,159755.20635,178680.67087,170822.11846,206853.34485,272359.23233,160900.53583,87743.35996,165396.061,159411.90783,166471.60346,146511.72862,191521.13268,110732.86811,67371.40588,241983.81987,160115.19076,29850.87608,202133.13958,162473.94267,193764.01751,48217.60037,68707.42324,99103.09685,155267.7547
215.1281@156.3,17769.91357,17076.73668,17760.15106,17494.99645,15680.8665,16413.1932,18281.62409,14906.03703,17406.7554,16663.48349,17185.23052,17955.4027,17266.77859,17515.67987,18027.1894,16720.46304,18828.62022,20063.1592,16522.90561,16967.71921,15469.36095,16966.82642,15030.2186,17499.53589,16735.72765,16010.78978,16031.59224,16664.80345,17218.9946,15582.74269
215.8579@636.2,207071.17707,191998.89839,198883.35427,52809.08303,130748.32122,58730.99053,133355.36264,142337.5903,151453.08582,191615.93715,69906.03567,124029.36348,189570.80241,93552.52819,145415.1143,197748.38861,200135.05413,100789.21023,146568.33529,199505.93339,201615.18896,203003.46307,207133.18623,202012.89081,192297.2412,160567.71723,192827.89677,211855.22285,141773.93258,124440.66492
216.0511@494.52,233755.27172,164161.13274,200175.20804,14285.15954,116349.09822,16886.29548,143409.56234,138996.73252,158305.66841,199488.50701,41911.33472,114272.94051,229445.02352,89970.30146,133006.29009,208015.06602,237393.72815,75012.0603,125381.11859,151690.68309,260326.22761,202913.45189,180501.08454,238430.70604,214217.09103,187259.66683,156788.67104,178245.69178,116828.73781,112699.57425
216.8294@137.58,129956.21913,120073.41369,130210.98055,186856.24929,141635.65676,155230.00303,135343.26384,119384.72694,138516.44919,122164.64692,159775.08191,139561.56573,128281.46905,139657.12398,138217.0836,125997.98168,127132.99572,138745.08403,138149.71283,122327.08051,117880.41256,114753.39684,118430.1558,115368.3012,124055.69414,125033.75342,122809.23132,118916.81635,141993.34194,140714.00449
216.8531@608.71,10640262.17964,8533168.60912,12142148.90036,5871169.93685,10316089.25594,5989152.97134,10715612.02577,8036149.61475,13816014.57493,8928790.24315,6184024.16794,9694233.57843,12915413.45677,7576384.20698,10154753.60175,13634672.15337,14073581.35512,6349421.29464,7663093.89195,9898128.68447,11404384.84202,10641132.21197,18722316.09259,13180822.4903,8997868.40702,11611900.23125,14755843.72305,13516665.50164,9916442.96838,9853351.15171
216.8532@636.16,15410450.72361,14092414.38779,14723255.51277,4310277.41122,9717766.6979,4694071.01522,10721530.48052,10993036.05538,12294004.45871,14035003.58368,5375933.93898,9581796.70504,15321915.33399,7497736.61709,11658647.91788,15823600.18954,16339414.03302,7804029.07522,11312428.66484,14912653.46149,16207404.34361,15016587.53354,16294838.35394,15965112.22747,14596241.45323,13042646.37435,15897724.01057,15664620.85502,11300023.8917,9839848.78389
217.0019@482.36,94072.72913,96110.21763,112528.71918,93426.20508,95839.96961,108124.14006,84754.54229,96853.92886,92372.26511,123710.512,94780.03101,61821.01959,73229.18248,96190.11386,94238.34508,104420.88339,92321.51273,99260.87829,102076.3679,99136.91821,98803.96791,113556.5885,107108.04058,98046.60714,96388.53499,87056.18224,113145.15404,108202.62881,99306.50873,99994.99115
217.0023@241.61,1358874.93173,1533601.23701,1411565.17305,1291735.27518,1348690.56744,631211.89762,1337350.74345,1433886.47459,1388336.08,478863.44676,1538324.16935,1484223.7012,112642.72521,518865.77713,1339438.55039,1401677.35384,1508521.01756,1326579.22119,862219.7421,2202976.47898,1544850.86013,2055144.38974,1416943.04144,161303.80331,1360970.77167,1608874.59989,1438600.69966,1096835.11085,2331118.82407,1434292.84971
217.0024@708.6,9937876.572,3937184.67925,2843784.74525,4236851.99622,3278389.64773,4086384.39927,3923075.5758,2509637.91091,3317136.95383,3322391.61613,10479725.38269,4097290.29137,2905897.93312,3145758.15489,2779858.12367,3375008.69037,2625076.9099,4054225.89726,2430353.75193,10413053.83648,2512164.91285,9817539.3775,2683041.36202,3217201.94555,2599803.06275,4170801.63059,3222110.49588,3672323.91838,2605474.99695,3232047.58448
217.0024@118.01,2712752.11703,2322959.13235,2295017.69989,2200836.72672,2272266.95017,2143880.58686,2508586.88084,2238797.59857,2194443.81129,2686169.36328,2178237.31157,2299297.89511,2535246.44066,2190796.95129,2237312.02139,2302249.25921,2204808.9286,2247081.61651,2249028.15429,2194427.97757,2309349.88686,2560338.78457,2199298.965,2796674.02771,2334311.93243,2293473.50246,2776643.43153,2170591.42543,2221866.61301,2295362.45441
217.0024@91.52,3160606.39031,179967.81729,3226899.76399,3126857.47567,3143531.30444,4048279.50731,3245608.82496,2972973.79183,1649544.38581,3226861.44948,4006772.41425,3241231.01629,2262383.48454,3598942.45545,3147950.24799,2223191.1862,4303790.47524,224623.29075,3220729.24225,3378616.15237,3243784.1449,3043050.91645,1945445.00457,3221450.32946,3237846.85821,2206029.66442,3191658.00015,3353144.49561,1979983.67996,4192682.77388
217.0025@49.19,7646002.54415,2437174.91081,7451422.22004,7314321.50393,4640661.22676,4677819.01068,4737274.19395,3958059.80849,4202370.23646,7577404.26114,4753912.58513,7667248.5138,3952666.08118,4957161.33253,4433162.88293,4746704.29948,4165966.57062,4557856.56578,7393613.31726,4394497.63009,7312411.88957,4353621.54423,7308279.6542,7859185.48657,4816675.88133,7043686.20377,8121064.81507,4174903.81557,7403634.25412,4610591.04444
217.0026@653.02,10048098.65859,10036110.58622,9974163.15602,10999764.26181,10202864.29019,10776866.14529,10031561.19843,9862394.73677,9945244.09987,9939686.6522,10150769.12694,10263145.90475,10228669.56837,10277166.28373,10453568.43762,9895152.691,9978917.42056,10844318.14592,9871557.39105,9872336.06464,9971390.30117,9770810.31187,10013608.71912,10004550.54096,10074656.95853,10489462.31082,9940950.94336,9960489.8188,9959824.05205,9783428.13965
217.0027@636.94,127701.879,97463.21462,107653.61743,78402.42079,31146.82576,81961.54128,35415.48842,43633.92783,56466.73707,25901.96607,101108.75224,26518.31579,41803.58726,163569.9315,49773.31958,147052.3407,153722.62128,14805.31063,41942.72667,33777.13169,167769.96292,109579.78112,169072.64268,165819.729,98545.61815,17216.33495,135576.10057,118411.97482,45092.12138,32728.19497
217.004@23.23,2165240.38267,2186038.99225,2058303.03837,2202119.59898,2193935.04597,1998678.68901,1995884.54118,2057734.6105,2114489.36299,2210014.89469,2052768.57478,2334300.92,2067020.24119,2197254.84145,2153564.43651,6776.48618,2057989.93554,2189479.03413,2222160.18748,2202716.02893,2039938.64666,2092830.24891,2195869.44492,2016857.71838,2113064.9103,2047396.19106,2200322.90316,2045969.40325,2091004.09272,2156745.94058
217.0046@5.64,2265448.59518,2352503.59748,2513822.0634,2312554.63808,2362783.97169,2530610.14668,2407313.2863,2487498.48707,2360460.98306,2282907.2305,2540183.25605,2168502.75195,2422066.1455,2342361.55722,2340935.26342,2426455.00334,2377985.36538,2224161.8118,2287103.94113,2347017.59514,2392536.26664,4495824.0477,2393074.6472,2396054.60374,2458759.98572,2267168.13253,2326057.27215,2534104.69668,2496053.75372,2312391.3883
217.1521@653.42,103827.98183,92802.79703,91794.63738,82893.35178,95576.62377,75381.02946,82925.20966,80168.09149,84140.44097,89104.39964,89498.22948,86782.40034,91741.17546,89582.65465,88082.59333,96546.44737,91975.5688,92573.68986,85183.79062,92855.42027,98052.10048,82966.51124,106988.11487,112932.90118,87542.35825,85089.7879,91400.09919,92876.39804,92171.59136,88638.05466
217.8529@608.54,2462754.81306,2077231.1833,2985097.96535,903066.84897,2422982.49336,1351993.74365,2442719.68215,1991877.68265,1997086.20374,2763998.82943,1385845.62592,2310305.82971,3132853.52697,1860763.43329,2363646.19058,3288237.42202,3498469.27232,1501232.60594,2816661.65387,2383674.61513,2636901.02427,2600334.38109,3889739.09699,3200202.18056,2204452.09257,2684269.49549,3844163.46784,3212477.02419,2707474.61281,2420555.33116
217.8532@636.15,3818690.1568,3449302.36519,3615443.80506,1023230.61427,2407251.24894,1111689.46496,2622625.79443,2710296.15859,3055398.93649,3447047.9751,1305962.26141,2369103.68048,3742652.94178,1837899.44066,2862768.83905,3865687.64004,3990813.38899,1923710.87837,2786837.64545,3650418.49386,3974362.31034,3674536.71482,3993602.52922,3922235.16783,3557154.53869,3199130.50489,3905032.59282,3849370.73744,2781281.55959,2425650.89248
218.0055@653.23,723098.27885,726171.4389,715795.52226,783259.82171,731836.84648,727023.30914,712605.14014,710791.45557,705332.15928,753482.11084,741149.06091,727360.2887,738348.60246,741075.948,760042.72369,714547.37301,702627.49009,782649.28671,707773.05027,708165.56425,704391.51066,707344.50654,736707.81087,726511.93049,709174.77181,713022.72488,715510.82919,744206.3217,728183.70568,706912.13672
218.8521@608.57,874156.62669,737849.2396,673372.11837,321320.51454,689945.90194,435224.66224,857737.21464,707616.92126,753666.11167,785978.10096,490621.92857,692890.94245,1081204.86144,672829.01435,839579.06845,798600.01891,804987.64212,550109.07951,1020052.11638,819195.6825,938081.55411,1035065.60236,1025801.95003,1211415.02109,843117.54908,984704.63978,1113054.34281,1155738.33059,761091.1313,712660.8313
218.8525@636.16,1413559.5818,1282139.0732,1327854.21765,360275.21203,874239.14645,398184.92088,938934.89489,996676.79096,1118360.88265,1268134.1931,459680.22652,861356.06513,1391688.77972,651359.15163,1040817.29331,1453531.64558,1496180.52075,682504.52886,1014417.26691,1338699.41918,1500744.97831,1372216.75423,1514891.54681,1488660.94315,1302990.49208,1182420.9758,1453605.93088,1417702.96702,1017937.89791,882461.34116
219.0043@653.17,231429.35269,217803.92429,214787.11241,250780.10217,232066.49325,245701.62215,228734.26673,223503.22133,210212.61679,226173.19401,227101.60379,221161.63427,214967.83182,226940.50815,215945.87038,210523.75889,218107.42419,249717.99069,223470.50462,222878.59343,206611.90512,208486.08618,221001.47711,215620.57556,231502.84799,236802.74105,211137.1156,220529.57245,228779.95498,225910.74814
219.0287@628.04,5415.05409,4982.03472,6510.40084,195.10128,5068.68991,238.53509,6579.34081,5961.41895,5092.74739,5965.85463,208.36803,4064.60649,6093.67169,2202.07264,5856.33266,5265.33586,5950.912,2027.43538,6684.33542,5208.19559,6038.53626,5532.54706,6115.74964,6125.83873,5470.64845,4195.88551,5749.32396,4020.74134,5766.66313,6061.92353
219.1747@443.58,41539.23179,43043.07911,41784.02534,36582.17091,41645.75433,39313.74551,45159.88263,46542.32711,42317.61096,45808.91291,40058.86689,38569.21522,42440.57826,43071.62015,41274.30667,40784.62846,50982.77734,46565.88363,41602.71379,39932.96558,40880.71178,40116.18246,39746.86318,44635.94562,42078.13531,42181.37115,39470.70225,41606.48568,40365.6834,44950.56061
219.853@636.2,162056.79124,147680.45381,151319.45435,42556.68257,98981.77528,44900.6563,104244.07784,113860.12927,126676.02245,146539.75499,53212.13352,97890.6105,158423.02826,76847.29924,118541.02443,162970.89454,170367.34271,80137.44815,115742.90039,150545.06334,171302.60697,156123.57618,175539.44628,171589.77614,147629.34626,132642.47632,163994.37759,158825.20972,114219.0188,99640.66413
220.146@258.07,26342.7186,25207.23252,24535.04086,22380.38812,23239.01274,22037.54499,26742.3846,24216.67688,24078.78885,24773.25177,22164.22172,23426.3629,25407.14215,24020.22507,22551.83189,23349.31974,24636.77607,23535.24525,25440.99132,22776.14342,27120.36804,24241.93137,23080.34203,24722.90565,24678.1004,26231.01442,24620.42308,21301.80871,22738.24089,23038.06898
220.1778@443.49,5450.16706,5563.98358,4333.70536,5477.93597,4375.40536,4900.60229,5792.01816,6804.92371,5311.28945,5490.0751,4190.32762,5045.65591,5499.67247,4977.97968,5531.70502,4875.39905,6601.532,6617.4144,3060.26445,4927.6203,6067.36763,4400.829,5560.74197,4411.19563,5233.96948,4843.01717,4126.39095,4997.1324,5833.78223,5847.67789
220.995@653.24,206191.1613,222594.41974,228356.02147,226494.62373,215466.10488,229364.92983,220886.7639,215723.15767,216111.12176,213106.19082,227480.6025,220371.12299,206461.65874,213210.68683,225106.49296,210257.0975,215211.66873,228702.93951,207140.25292,207689.08495,210369.37914,205336.98973,211748.38115,212459.11402,205393.75338,206680.05366,206540.01832,202050.41033,225261.57699,206615.80264
221.1538@258.41,77950.70137,79499.2573,78188.2608,76560.03723,83635.64682,81667.5976,91288.86362,82169.6441,90015.62454,81195.31923,79844.6699,82126.62106,90992.45583,85731.86065,85183.30783,88581.03123,87175.30166,85541.95384,86993.5521,73231.6126,93970.03031,83073.30641,83859.62798,93661.9331,79862.43294,99895.53234,73331.93458,74992.54064,86232.80101,83012.33439
221.1539@402.24,129418.2709,131644.86593,122944.13056,129954.00763,138468.10206,143821.14777,144209.1871,128930.59088,133898.67575,110159.40801,123814.08004,127058.9825,124412.95518,134772.62272,130510.22222,129600.68274,133352.30304,138891.61036,133287.37238,122041.16828,132893.4849,131873.88798,113709.79812,125177.39967,127634.81129,127605.23843,115795.96445,109802.83939,119578.68316,134257.16551
222.1491@230.94,11608.50604,6649.78379,11585.44429,6470.74354,10077.54856,8135.20586,11389.25206,11358.4161,9516.67358,11421.50368,8560.93707,11861.62088,5660.91117,10063.8556,12854.72837,9379.55167,12907.11375,8528.05066,10272.64351,7894.94518,11241.11615,11243.43252,7094.61501,9423.86666,9408.28317,11630.95838,8683.96323,8511.99141,11098.10275,10122.61771
222.1572@402.09,18629.51716,15191.8602,16513.82783,19618.13593,17023.91777,20204.81043,19023.73227,16417.28867,17469.91985,16094.9631,20934.00764,18140.10377,14880.28159,17402.48074,18368.89443,16059.92669,18591.79793,14938.24697,18538.98655,15542.31023,17660.77926,17993.42958,14804.22703,18377.05386,15802.92178,17629.06527,15629.48379,15885.99316,17926.82045,16753.24097
222.9445@635.1,18767.09403,9083.49407,16744.50482,1121.91243,9900.7036,968.98742,15296.7012,16858.94871,8002.5348,16788.64797,2375.58085,8500.57638,19676.37408,3129.62137,16349.13829,17473.23813,19205.8571,5488.25741,15224.55551,18014.89612,9017.48823,16372.98815,17879.76375,8305.21238,16168.97114,13803.67386,19178.99529,17643.56469,7985.65941,6470.19282
223.0276@309.75,143074.84882,141558.61146,138275.15068,150838.53785,141940.49287,159205.89459,157168.04761,151742.26234,138996.90684,150669.97554,139311.19599,136135.00086,142405.69913,169020.62831,135786.9947,139706.90205,156295.5062,144265.92642,136928.48671,127961.36355,131238.12478,138113.01452,116709.11352,160897.30272,126470.14957,146011.58441,109546.20363,130199.15397,133702.73265,160701.23122
223.0278@498.63,203575.35119,157440.14998,187358.25981,126234.78371,177902.81512,165223.31713,217606.67759,229569.758,178237.68891,252320.76608,315019.56711,136793.97723,188514.83863,229063.71469,215284.32245,191677.59875,212680.12911,171094.05536,189531.55313,201729.10244,188247.60545,205194.20286,155457.21525,256201.48602,198593.68654,151863.72573,153898.95686,234940.98478,170393.29174,236484.84642
223.1333@233.52,12477.07679,9908.96666,13366.45916,5784.4328,7718.64244,10058.09954,15505.41243,9711.11448,23065.33772,10144.3203,8205.70034,17368.34335,35890.1791,22858.21435,11406.10271,24525.56359,18816.78596,97340.20423,24340.46134,11437.97574,10000.85487,13684.58672,7219.98905,13989.88531,9291.75054,10143.02778,8060.71643,6604.34241,16319.23262,22485.63854
223.1696@342.51,20124.68404,20338.29281,3549.51473,17065.31949,16673.24812,49027.88853,12830.07281,15703.83273,11151.48795,38932.729,15609.1406,35814.69084,25370.39747,14423.91721,18612.43746,9841.75094,17224.40722,9592.2814,9057.32785,4707.13382,17789.61634,17500.98718,661.05511,18857.31475,13254.43257,11255.18359,1793.1177,10963.81736,16185.81622,18272.89738
223.7972@136.92,81523.79137,103934.37372,102165.34768,121404.1082,104518.15301,123688.81293,104954.06229,134102.20761,97028.61443,86958.58665,121456.53739,113175.28912,77774.73,111462.24678,104301.70115,96694.71345,88236.35041,109834.10111,97686.79332,89275.86048,79029.27982,81366.5329,83941.8048,72667.93343,98700.04566,94405.31556,86093.35447,76560.76789,106864.61472,98483.84707
224.0282@309.46,26197.21341,24933.2821,25420.74294,26627.78106,27665.84946,28361.88775,29510.42316,28013.73252,25832.17609,28010.75466,25960.95185,27126.78617,25005.73323,29928.44601,23748.13073,24840.34655,24694.62492,24841.41914,22258.69888,21867.54699,22854.22756,25492.30213,20469.50651,28593.87973,23129.98298,27371.54632,19933.01903,24291.63369,24652.67141,28917.119
224.0285@498.47,38095.80832,26590.86281,34179.8658,19309.57371,30336.12618,23042.77886,35158.08028,34242.15506,33013.56713,48320.31566,55355.01674,20755.5314,26168.55377,39430.36107,33486.41309,37762.04898,30678.67471,28190.16923,22261.80997,38691.35903,24387.29964,34062.32095,36660.99919,45394.04005,26364.23858,22315.32748,25200.68139,37544.54158,29582.10379,41073.85338
225.16@163.71,24716.02839,22630.14297,24991.33836,21606.16555,22008.92141,22886.29303,27508.47417,23922.10332,26202.43415,24965.47746,23033.79783,22728.66572,23196.98976,22795.55987,24174.25467,23472.64793,23191.84929,22451.02458,22803.38926,22569.05846,23711.35129,23260.9255,24489.67582,24408.01182,23389.32029,25203.36258,23563.67909,23831.33177,21804.22717,23984.40291
225.1852@370.54,158522.90319,226768.62379,33441.77862,88218.67584,169303.86608,197526.32396,482393.01918,176789.59629,43440.50216,275316.5226,98556.40539,174954.87693,169701.89547,73869.66682,110586.37597,82132.30461,238178.31193,79767.11712,135088.68308,62189.98558,105364.25973,95293.84717,25351.0619,142774.1732,95003.56163,303205.07309,26048.64077,82904.27567,125015.07427,74354.8786
225.8531@637.05,36995.02536,37430.94763,37819.84099,5707.5983,31780.03872,8441.82017,32219.32011,36010.70983,39481.5356,33998.53079,14182.99432,27464.5293,35911.38795,24721.83074,35505.74064,34281.21613,37050.35243,26565.60501,38849.9158,35505.55633,38708.2675,33946.56602,37910.41431,40957.54214,35454.96178,39885.64856,35440.51866,33557.30109,34781.89831,32988.83328
226.1886@370.53,24856.16564,34947.45066,3552.47262,11997.63917,26361.22617,31412.76042,75213.1279,26749.41449,5661.02901,43868.13166,14851.07804,26184.86245,26666.95411,9854.96742,16650.54749,12412.58819,36910.93077,11409.71484,21125.51628,8566.09968,16218.07465,13551.98255,2501.12282,22321.28402,14474.89198,46943.33251,2702.13791,12328.09648,16560.21735,10547.98951
226.8546@637.08,5395.4215,7088.50359,9004.63919,995.29809,6167.82486,729.58947,7778.67058,7281.48942,8288.47877,6267.00817,4165.12795,5829.79793,6247.77683,5428.19767,9172.65116,7653.98657,5854.72479,6256.62485,8176.2316,7709.33128,8928.76725,5786.8352,7204.30677,9311.28051,7389.89009,9153.37585,6789.11717,6935.78016,8017.67811,7115.78094
227.1282@220.61,19362.32233,22485.7005,20801.82792,17406.01796,21254.28183,17469.38099,25003.95054,3720.50067,14761.05126,19772.65065,14988.75791,19255.53766,18694.07358,15634.5508,26196.42359,18011.45248,19882.15425,27993.11769,18243.92044,16067.78284,19258.85019,17896.91993,20670.86362,32862.49259,28684.04047,18955.19749,12522.83905,23484.75737,13947.12732,21543.68211
227.1644@270.67,30659.89,16659.76705,33349.78916,23637.44965,24353.10189,18051.13664,17840.22458,17073.06112,15223.21159,14621.05061,27077.20353,20971.2317,25183.77177,20352.09512,16213.22711,15875.95551,12598.16771,16774.32642,20259.38365,28570.13821,17306.20265,14215.68157,24139.08734,1148.98567,11188.86825,13621.37682,21907.88988,15110.07891,26697.04386,16634.78484
227.201@515.86,880470.29821,966592.68814,837796.67101,1813336.02258,1120259.53012,1350210.849,1036649.51837,1083760.71921,1360668.99908,985577.57649,1722077.00565,1122318.54072,913067.12249,1573274.72808,1364107.00987,821321.98237,867213.54657,1617519.20116,1385062.09999,1338809.91773,1334948.14871,1225962.74549,745065.34957,898841.17393,927761.55146,936822.07543,734429.40065,1258718.8342,1131008.23033,1471919.60004
227.2014@415.2,2216256.60539,1776542.94329,589355.27935,1193355.79611,1535323.72974,4742.22934,6196091.74145,1376194.83185,645729.11602,1895077.32435,1495850.94783,2121676.93008,1662050.17372,942837.41433,1189414.77186,801141.2095,1572026.04892,1202023.58463,1795408.36736,1158216.33313,1596120.16178,1463954.73938,441706.30374,1417763.93023,1286143.61336,3017242.79854,523908.56076,858685.85804,1679702.56703,917494.90747
227.9892@601.48,21480.36373,9732.93837,4797.47321,55180.5107,10854.89332,8800.38832,14918.26142,12553.3759,5559.22935,6728.93725,13344.46447,3839.5258,4117.68032,16527.75641,4813.13089,5425.63471,125371.80215,13430.25819,5419.16449,8565.39854,5097.45465,18115.87609,38042.46389,5260.96016,19840.06895,25668.92012,6766.01701,55523.25762,12573.84918,2852.59424
228.2044@415.21,369568.16165,289945.37578,88727.64592,191343.01305,246179.97378,562254.12339,1048867.05473,221530.70488,98865.66064,309688.59114,240878.31139,346648.05005,268480.70507,147807.22128,188671.75165,124519.7644,255552.66173,193026.88676,292469.91792,181259.99201,258521.99383,239717.62858,67555.30735,228225.7186,201901.80774,505633.75044,78980.70943,144628.96092,270905.77725,143908.47416
229.1437@176.58,14815.30224,15007.09326,11964.83093,15110.45151,10009.24749,10178.08811,12234.41892,11467.72445,12809.09884,10695.25813,13840.14899,11608.97184,12135.89068,10248.40087,9895.08994,11083.3776,20581.4772,24406.67303,16513.42831,14171.21343,8725.09393,5094.07836,10112.76708,12992.64957,13697.25848,10571.88406,5894.19212,12446.43728,13808.21356,10613.86967
229.1797@248.54,8935.84995,10754.0958,8901.40485,4979.076,8609.58956,9052.08886,9601.49843,7866.11941,255188.59816,9616.06524,8333.69412,10064.08846,14559.85818,10270.48642,9114.7788,72211.80812,9130.27229,9622.90361,11766.52522,35308.16112,10005.04737,10259.43218,10154.46327,4218.87984,10600.29984,9978.23918,10893.70323,8630.55458,9220.13151,43412.50326
229.2071@415.28,34197.41195,25665.3157,6897.11871,17151.08567,22001.08578,53342.14535,104075.04612,20084.64308,8453.40421,28602.66573,22020.23646,31847.85406,24781.59689,11953.80741,17052.26138,10651.71157,23047.01282,16529.85087,28017.89837,15206.25391,23236.03036,21094.84449,5138.57004,21251.21467,17226.07835,46704.96376,7138.226,12640.90033,25991.54104,11900.25419
230.0121@133.47,479791.96892,1385427.58187,247.7731,84.60763,106.14296,578550.77819,1052403.92033,27.98009,239466.73141,14245.16885,107714.05069,4227.9151,114.50715,5547.35749,51.46506,352.52626,24218.97741,3932518.761,1246.5252,0.0,508053.28199,101023.71686,18.65304,383242.24736,50883.39501,2.38968,21.46684,3307.57889,54.26378,302343.35877
230.979@709.82,62149.09044,62533.22829,63129.14665,96374.11434,87218.42801,102847.58522,78273.7627,82076.49582,62817.4238,73683.89261,89543.05307,85193.75261,63105.31492,105658.31282,75123.06179,49388.62144,57632.85868,110041.40168,76825.37077,58713.05255,49228.95395,29337.62808,56061.10442,53303.34901,65301.07967,67926.93102,57114.19507,52246.26213,90186.77165,77523.82151
231.0149@133.47,47776.30634,146266.15015,68.80102,42.06951,45.74543,57397.93622,110905.81443,42.20837,23458.16038,1263.47129,11259.47605,163.85747,87.66473,311.44891,108.73413,6.96342,2084.7876,442956.8375,159.33676,43.31696,51038.36311,9600.41137,68.15597,38207.71279,5209.94294,100.72931,51.54072,73.48409,10.39502,29372.32683
231.9775@681.47,43894.80068,355091.01825,145625.47424,287362.6284,268774.18489,246962.59661,279006.33495,224305.72246,214660.38369,299281.47816,323465.97847,270393.6274,351392.29245,157908.60402,315716.54438,153092.91359,287776.18036,254061.99858,296300.40809,179590.0503,292074.66545,172732.52919,346497.38657,298665.12474,149011.77502,134020.82793,126004.10097,110883.39654,169517.8932,139461.28322
232.0097@133.5,25057.1223,81637.03844,0.0,9.93319,0.0,33296.35346,59665.95227,11.53336,13590.77799,461.2551,3521.95302,15.50527,0.0,0.0,12.3332,5.06632,366.78465,246164.53714,80.37142,26.02426,27533.59933,5257.62973,9.9094,20271.09292,2263.13782,2.41922,10.12854,32.35316,0.0,16631.86751
232.8243@635.98,112689.30608,122885.11616,119770.75257,44611.10853,116238.19282,52394.81845,121739.69054,130906.42343,129897.21868,118164.37301,63136.55213,108222.81343,108528.04915,86998.27812,130879.31421,110483.67614,110592.49536,92160.8108,130553.21815,115415.05846,116340.70598,110277.34556,115439.37963,117671.24124,113570.19176,129310.74613,109940.56386,110313.90384,127942.52665,114661.35398
232.9745@692.12,2029892.36633,2278715.21748,1658177.49381,2783973.68378,1802031.33854,2184396.40102,2410526.64983,87402.48544,2291284.88736,2330298.35441,3146619.65069,2147057.6678,2236457.68228,2097048.33318,2614205.66108,2077244.89732,2246332.78276,2258129.96782,1482869.85727,1926401.99617,1922952.75413,2163045.90522,1299437.37585,2086085.74443,2573369.41419,2305377.94893,2225621.36352,1994161.32311,1630154.45421,2331091.13775
233.1539@397.65,44521.72656,49586.13726,35656.25723,46997.16234,45784.44141,49349.83124,48744.98053,51767.17198,38226.08231,49987.42713,54817.29364,44268.34135,38952.48678,47067.78744,45423.57598,47190.34477,53053.39252,50933.717,43944.60055,44291.42867,39908.38101,43008.88546,34743.09388,52909.07824,44110.98989,40790.44327,41141.12586,45090.68255,39568.31023,40067.85317
233.8245@636.23,9205.44488,9665.54628,8641.89692,2414.84823,10445.52134,3364.51831,5835.56875,4926.2281,10961.92998,4294.32588,4697.99708,6946.03357,8424.84603,6315.97843,6524.28439,8997.53064,9788.50561,4982.45295,10193.77224,9162.04548,8381.23771,3792.75225,8959.74358,10413.37208,8793.69106,5622.862,9283.18034,9284.76493,4844.18145,9914.62869
233.9771@709.83,86535.75556,103104.39851,93009.16532,157829.61949,127946.51098,158940.52168,117023.06836,117372.99765,94067.70751,104366.63074,146322.68401,140555.77048,80774.989,150312.69909,109591.96026,76232.90835,83730.64441,139009.44198,121203.02197,83694.82266,72568.50883,86660.04756,94854.51638,74559.02486,97163.88711,94844.87418,92117.7221,80798.99588,119605.0684,118145.38614
